,date_id,country_id,income_per_person
334,2,142,1430
335,2,143,432
336,2,144,1400
337,2,145,1400
338,2,146,852
339,2,147,2370
340,2,148,497
341,2,149,1360
342,2,150,795
343,2,151,734
344,2,152,1020
345,2,153,1430
346,2,154,1410
347,2,155,363
348,2,156,694
349,2,157,2250
350,2,158,462
351,2,159,507
352,2,160,1610
353,2,161,799
354,2,162,1170
355,2,163,875
356,2,164,838
357,2,165,518
358,2,166,1640
359,2,167,1440
360,2,168,2700
361,2,169,503
362,2,170,557
363,2,171,562
364,2,172,795
365,2,173,522
366,2,174,683
367,2,175,663
368,2,176,1230
369,2,177,715
370,2,178,1190
371,2,179,944
372,2,180,719
373,2,181,464
374,2,182,764
375,2,183,1000
376,2,184,3290
377,2,185,2020
378,2,186,1810
379,2,187,502
380,2,188,586
381,2,189,1200
382,2,190,778
383,2,191,879
384,2,192,665
385,2,193,870
386,3,1,603
387,3,2,667
388,3,3,717
389,3,4,1200
390,3,5,623
391,3,6,757
392,3,7,1650
393,3,8,514
394,3,9,826
395,3,10,1860
396,3,11,775
397,3,12,1450
398,3,13,1250
399,3,14,876
400,3,15,914
401,3,16,608
402,3,17,2390
403,3,18,579
404,3,19,597
405,3,20,630
406,3,21,854
407,3,22,669
408,3,23,397
409,3,24,1120
410,3,25,1510
411,3,26,1090
412,3,27,480
413,3,28,419
414,3,29,385
415,3,30,626
416,3,31,1330
417,3,32,529
418,3,33,424
419,3,34,418
420,3,35,744
421,3,36,733
422,3,37,927
423,3,38,697
424,3,39,489
425,3,40,578
426,3,41,775
427,3,42,819
428,3,43,1100
429,3,44,917
430,3,45,854
431,3,46,1920
432,3,47,2020
433,3,48,757
434,3,49,663
435,3,50,667
436,3,51,529
437,3,52,1600
438,3,53,975
439,3,54,357
440,3,55,532
441,3,56,940
442,3,57,490
443,3,58,523
444,3,59,785
445,3,60,1240
446,3,61,1850
447,3,62,390
448,3,63,814
449,3,64,543
450,3,65,2020
451,3,66,697
452,3,67,1380
453,3,68,959
454,3,69,857
455,3,70,450
456,3,71,567
457,3,72,1210
458,3,73,634
459,3,74,675
460,3,75,1250
461,3,76,927
462,3,77,858
463,3,78,983
464,3,79,1530
465,3,80,3840
466,3,81,1480
467,3,82,880
468,3,83,2830
469,3,84,1360
470,3,85,1010
471,3,86,1130
472,3,87,1140
473,3,88,859
474,3,89,552
475,3,90,1110
476,3,91,508
477,3,92,865
478,3,93,753
479,3,94,2150
480,3,95,352
481,3,96,797
482,3,97,1050
483,3,98,1270
484,3,99,1450
485,3,100,573
486,3,101,350
487,3,102,1120
488,3,103,843
489,3,104,603
490,3,105,782
491,3,106,540
492,3,107,528
493,3,108,940
494,3,109,1520
495,3,110,518
496,3,111,621
497,3,112,1950
498,3,113,592
499,3,114,1060
500,3,115,715
501,3,116,391
502,3,117,594
503,3,118,540
504,3,119,554
505,3,120,621
506,3,121,3330
507,3,122,658
508,3,123,973
509,3,124,446
510,3,125,854
511,3,126,249
512,3,127,690
513,3,128,2540
514,3,129,916
515,3,130,1020
516,3,131,839
517,3,132,675
518,3,133,847
519,3,134,546
520,3,135,835
521,3,136,1060
522,3,137,1090
523,3,138,1050
524,3,139,1830
525,3,140,1110
526,3,141,377
527,3,142,1430
528,3,143,432
529,3,144,1400
530,3,145,1410
531,3,146,853
532,3,147,2370
533,3,148,497
534,3,149,1360
535,3,150,798
536,3,151,734
537,3,152,1020
538,3,153,1430
539,3,154,1410
540,3,155,363
541,3,156,695
542,3,157,2230
543,3,158,462
544,3,159,507
545,3,160,1620
546,3,161,799
547,3,162,1170
548,3,163,875
549,3,164,838
550,3,165,518
551,3,166,1640
552,3,167,1500
553,3,168,2700
554,3,169,503
555,3,170,557
556,3,171,562
557,3,172,795
558,3,173,523
559,3,174,683
560,3,175,663
561,3,176,1230
562,3,177,716
563,3,178,1190
564,3,179,945
565,3,180,719
566,3,181,464
567,3,182,765
568,3,183,1010
569,3,184,3300
570,3,185,2050
571,3,186,1820
572,3,187,502
573,3,188,586
574,3,189,1200
575,3,190,778
576,3,191,882
577,3,192,667
578,3,193,871
579,4,1,603
580,4,2,667
581,4,3,718
582,4,4,1200
583,4,5,626
584,4,6,757
585,4,7,1650
586,4,8,514
587,4,9,831
588,4,10,1870
589,4,11,775
590,4,12,1450
591,4,13,1250
592,4,14,876
593,4,15,914
594,4,16,609
595,4,17,2400
596,4,18,579
597,4,19,597
598,4,20,630
599,4,21,854
600,4,22,669
601,4,23,397
602,4,24,1120
603,4,25,1510
604,4,26,1090
605,4,27,480
606,4,28,419
607,4,29,385
608,4,30,626
609,4,31,1340
610,4,32,529
611,4,33,424
612,4,34,418
613,4,35,744
614,4,36,732
615,4,37,923
616,4,38,698
617,4,39,491
618,4,40,580
619,4,41,775
620,4,42,822
621,4,43,1110
622,4,44,925
623,4,45,854
624,4,46,1920
625,4,47,2020
626,4,48,759
627,4,49,663
628,4,50,667
629,4,51,529
630,4,52,1600
631,4,53,975
632,4,54,357
633,4,55,532
634,4,56,941
635,4,57,490
636,4,58,523
637,4,59,785
638,4,60,1250
639,4,61,1850
640,4,62,390
641,4,63,814
642,4,64,543
643,4,65,2040
644,4,66,697
645,4,67,1380
646,4,68,959
647,4,69,857
648,4,70,450
649,4,71,567
650,4,72,1220
651,4,73,634
652,4,74,675
653,4,75,1250
654,4,76,927
655,4,77,854
656,4,78,979
657,4,79,1530
658,4,80,3840
659,4,81,1490
660,4,82,880
661,4,83,2910
662,4,84,1360
663,4,85,1010
664,4,86,1130
665,4,87,1140
666,4,88,862
667,4,89,552
668,4,90,1110
669,4,91,508
670,4,92,865
671,4,93,754
672,4,94,2150
673,4,95,352
674,4,96,797
675,4,97,1050
676,4,98,1270
677,4,99,1450
678,4,100,573
679,4,101,350
680,4,102,1120
681,4,103,843
682,4,104,603
683,4,105,782
684,4,106,540
685,4,107,528
686,4,108,940
687,4,109,1510
688,4,110,519
689,4,111,621
690,4,112,1960
691,4,113,592
692,4,114,1060
693,4,115,715
694,4,116,391
695,4,117,594
696,4,118,540
697,4,119,554
698,4,120,621
699,4,121,3330
700,4,122,658
701,4,123,974
702,4,124,446
703,4,125,856
704,4,126,249
705,4,127,690
706,4,128,2550
707,4,129,916
708,4,130,1020
709,4,131,839
710,4,132,675
711,4,133,847
712,4,134,546
713,4,135,835
714,4,136,1040
715,4,137,1090
716,4,138,1020
717,4,139,1870
718,4,140,1110
719,4,141,377
720,4,142,1440
721,4,143,433
722,4,144,1400
