,country_id,country_name
0,1,Afghanistan
1,2,Albania
2,3,Algeria
3,4,Andorra
4,5,Angola
5,6,Antigua and Barbuda
6,7,Argentina
7,8,Armenia
8,9,Australia
9,10,Austria
10,11,Azerbaijan
11,12,Bahamas
12,13,Bahrain
13,14,Bangladesh
14,15,Barbados
15,16,Belarus
16,17,Belgium
17,18,Belize
18,19,Benin
19,20,Bhutan
20,21,Bolivia
21,22,Bosnia and Herzegovina
22,23,Botswana
23,24,Brazil
24,25,Brunei
25,26,Bulgaria
26,27,Burkina Faso
27,28,Burundi
28,29,Cambodia
29,30,Cameroon
30,31,Canada
31,32,Cape Verde
32,33,Central African Republic
33,34,Chad
34,35,Chile
35,36,China
36,37,Colombia
37,38,Comoros
38,39,"Congo, Dem. Rep."
39,40,"Congo, Rep."
40,41,Costa Rica
41,42,Cote d'Ivoire
42,43,Croatia
43,44,Cuba
44,45,Cyprus
45,46,Czech Republic
46,47,Denmark
47,48,Djibouti
48,49,Dominica
49,50,Dominican Republic
50,51,Ecuador
51,52,Egypt
52,53,El Salvador
53,54,Equatorial Guinea
54,55,Eritrea
55,56,Estonia
56,57,Eswatini
57,58,Ethiopia
58,59,Fiji
59,60,Finland
60,61,France
61,62,Gabon
62,63,Gambia
63,64,Georgia
64,65,Germany
65,66,Ghana
66,67,Greece
67,68,Grenada
68,69,Guatemala
69,70,Guinea
70,71,Guinea-Bissau
71,72,Guyana
72,73,Haiti
73,74,Honduras
74,75,Hungary
75,76,Iceland
76,77,India
77,78,Indonesia
78,79,Iran
79,80,Iraq
80,81,Ireland
81,82,Israel
82,83,Italy
83,84,Jamaica
84,85,Japan
85,86,Jordan
86,87,Kazakhstan
87,88,Kenya
88,89,Kiribati
89,90,Kuwait
90,91,Kyrgyz Republic
91,92,Lao
92,93,Latvia
93,94,Lebanon
94,95,Lesotho
95,96,Liberia
96,97,Libya
97,98,Lithuania
98,99,Luxembourg
99,100,Madagascar
100,101,Malawi
101,102,Malaysia
102,103,Maldives
103,104,Mali
104,105,Malta
105,106,Marshall Islands
106,107,Mauritania
107,108,Mauritius
108,109,Mexico
109,110,"Micronesia, Fed. Sts."
110,111,Moldova
111,112,Monaco
112,113,Mongolia
113,114,Montenegro
114,115,Morocco
115,116,Mozambique
116,117,Myanmar
117,118,Namibia
118,119,Nauru
119,120,Nepal
120,121,Netherlands
121,122,New Zealand
122,123,Nicaragua
123,124,Niger
124,125,Nigeria
125,126,North Korea
126,127,North Macedonia
127,128,Norway
128,129,Oman
129,130,Pakistan
130,131,Palau
131,132,Palestine
132,133,Panama
133,134,Papua New Guinea
134,135,Paraguay
135,136,Peru
136,137,Philippines
137,138,Poland
138,139,Portugal
139,140,Qatar
140,141,Romania
141,142,Russia
142,143,Rwanda
143,144,Samoa
144,145,San Marino
145,146,Sao Tome and Principe
146,147,Saudi Arabia
147,148,Senegal
148,149,Serbia
149,150,Seychelles
150,151,Sierra Leone
151,152,Singapore
152,153,Slovak Republic
153,154,Slovenia
154,155,Solomon Islands
155,156,Somalia
156,157,South Africa
157,158,South Korea
158,159,South Sudan
159,160,Spain
160,161,Sri Lanka
161,162,St. Kitts and Nevis
162,163,St. Lucia
163,164,St. Vincent and the Grenadines
164,165,Sudan
165,166,Suriname
166,167,Sweden
167,168,Switzerland
168,169,Syria
169,170,Tajikistan
170,171,Tanzania
171,172,Thailand
172,173,Timor-Leste
173,174,Togo
174,175,Tonga
175,176,Trinidad and Tobago
176,177,Tunisia
177,178,Turkey
178,179,Turkmenistan
179,180,Tuvalu
180,181,Uganda
181,182,Ukraine
182,183,United Arab Emirates
183,184,United Kingdom
184,185,United States
185,186,Uruguay
186,187,Uzbekistan
187,188,Vanuatu
188,189,Venezuela
189,190,Vietnam
190,191,Yemen
191,192,Zambia
192,193,Zimbabwe
